"subind","runnum","group","N","go_rt_med","go_rt_sd","go_acc","go_error","go_omit"
"ldrc3_0_235","1","A3_first",128,0.750431,0.136565777240458,0.791666666666667,0,0.208333333333333
"ldrc3_0_235","2","A3_first",128,0.6622285,0.135146109425259,1,0,0
"ldrc3_0_236","1","A3_first",128,0.663287,0.185435178879601,0.739583333333333,0.03125,0.229166666666667
"ldrc3_0_236","2","A3_first",128,0.648045,0.141574558412945,0.916666666666667,0.0104166666666667,0.0729166666666667
"ldrc3_0_237","1","A3_first",128,0.5326,0.171022016233993,0.927083333333333,0.0520833333333333,0.0208333333333333
"ldrc3_0_237","2","A3_first",128,0.6437165,0.136329127680404,0.854166666666667,0.0416666666666667,0.104166666666667
"ldrc3_0_248","1","A3_first",128,0.744634,0.137159611068585,0.8125,0.0104166666666667,0.177083333333333
"ldrc3_0_248","2","A3_first",128,0.774935,0.125472480504446,0.822916666666667,0.0208333333333333,0.15625
"ldrc3_1_208","1","A3_first",128,0.661061,0.150592248066703,0.833333333333333,0.0104166666666667,0.15625
"ldrc3_1_213","1","A3_first",128,0.577522,0.123261135058203,0.947916666666667,0.03125,0.0208333333333333
"ldrc3_1_213","2","A3_first",128,0.60028,0.152471417033052,0.90625,0.0208333333333333,0.0729166666666667
"ldrc3_1_214","1","A3_first",128,0.668067,0.146454073025759,0.90625,0.0104166666666667,0.0833333333333333
"ldrc3_1_214","2","A3_first",128,0.725843,0.127681015107057,0.916666666666667,0.0104166666666667,0.0729166666666667
"ldrc3_1_224","1","A3_first",128,0.755987,0.142011719108669,0.927083333333333,0.0208333333333333,0.0520833333333333
"ldrc3_1_224","2","A3_first",128,0.806331,0.133961861455717,0.71875,0.0104166666666667,0.270833333333333
"ldrc3_1_226","1","A3_first",128,0.5766205,0.155902762665073,0.791666666666667,0.0208333333333333,0.1875
"ldrc3_1_226","2","A3_first",128,0.544121,0.168145700504399,0.791666666666667,0.0520833333333333,0.15625
"ldrc3_1_227","1","A3_first",128,0.7364265,0.133753163894908,0.791666666666667,0.0104166666666667,0.197916666666667
"ldrc3_1_228","1","A3_first",128,0.6049485,0.16534328643222,0.8125,0.0729166666666667,0.114583333333333
"ldrc3_1_229","1","A3_first",128,0.670453,0.146379441270698,0.84375,0.0208333333333333,0.135416666666667
"ldrc3_1_229","2","A3_first",128,0.693992,0.1330012569363,0.802083333333333,0.0104166666666667,0.1875
"ldrc3_1_241","1","A3_first",128,0.7652485,0.126339264465823,0.770833333333333,0.0208333333333333,0.208333333333333
"ldrc3_1_242","1","A3_first",128,0.721485,0.14251560910112,0.8125,0.0416666666666667,0.145833333333333
"ldrc3_1_242","2","A3_first",128,0.750838,0.131960120073943,0.75,0.0520833333333333,0.197916666666667
"ldrc3_1_243","2","A3_first",128,0.6461815,0.145651167383083,0.729166666666667,0.09375,0.177083333333333
"H_LDFHO1627_2","1","H_first",128,0.665307,0.188627286056689,0.625,0.0104166666666667,0.364583333333333
"H_LDFHO1986_1_second","1","H_second",128,0.75842,0.144487922615483,0.770833333333333,0.0104166666666667,0.21875
"H_LDFHO2436_2_second","1","H_second",128,0.705721,0.127745815685953,0.864583333333333,0,0.135416666666667
"H_LDFHO2436_2_second","2","H_second",128,0.757915,0.130745289067431,0.760416666666667,0.0104166666666667,0.229166666666667
"H_LDFHO2569_2_second","1","H_second",128,0.791779,0.163636191507385,0.75,0,0.25
"H_LDFHO2748_1_second","1","H_second",128,0.5185045,0.153492777767549,0.875,0.0625,0.0625
"H_LDFHO1589_2_third","1","H_third",128,0.559373,0.125570440755494,0.96875,0,0.03125
"H_LDFHO1690_2_third","1","H_third",128,0.7132275,0.179828095869037,0.833333333333333,0,0.166666666666667
