"subind","runnum","group","N","rt_median","acc_avg"
"LDFHO23801_1_3","1","H3_first",32,3.55241833361,0.71875
"LDFHO23801_1_3","2","H3_first",32,3.765463936875,0.9375
"LDFHO24839_1_3","1","H3_first",32,3.76186115813,0.8125
"LDFHO24839_1_3","2","H3_first",32,3.28099994152,1
"LDFHO24861_1_3","1","H3_first",32,4.77692741412,0.6875
"ldrc3_c_181","1","A_control",128,3.28989219666,0.9765625
"ldrc3_c_181","2","A_control",128,3.377907037735,0.984375
"ldrc3_c_181","3","A_control",32,3.02012491226,0.96875
"ldrc3_c_185","1","A_control",32,2.16235494614,0.96875
"ldrc3_c_185","2","A_control",32,2.116405487065,0.9375
"ldrc3_c_185","3","A_control",32,2.12802410126,1
"ldrc3_c_188","1","A_control",32,4.043645977975,0.9375
"ldrc3_c_190","1","A_control",32,3.62430894375,0.9375
"ldrc3_c_190","2","A_control",32,3.52763605118,0.90625
"ldrc3_c_190","3","A_control",32,3.734416008,0.96875
"ldrc3_c_194","2","A_control",32,3.393857479095,0.9375
"ldrc3_c_194","3","A_control",32,3.22514915466,0.90625
"ldrc3_c_198","1","A_control",32,3.12496209145,0.96875
"ldrc3_c_198","2","A_control",32,3.08337593079,1
"ldrc3_c_198","3","A_control",32,2.58067238331,1
"ldrc3_c_199","1","A_control",32,4.15199685097,0.90625
"ldrc3_c_199","2","A_control",32,4.46829009056,0.9375
"ldrc3_c_199","3","A_control",32,4.44378244877,0.9375
"ldrc3_c_203","1","A_control",32,2.609726428985,1
"ldrc3_c_203","2","A_control",32,2.33919608593,1
"ldrc3_c_203","3","A_control",32,1.52485895157,0.96875
"ldrc3_c_221","1","A_control",32,3.568197369575,0.9375
"ldrc3_c_221","2","A_control",32,3.38939905167,0.96875
"ldrc3_c_221","3","A_control",32,2.89402008057,0.96875
"/ldrc_c_032","1","A_control",128,4.01010084152,0.8671875
"/ldrc_c_032","2","A_control",128,3.97278189659,0.8359375
"/ldrc_c_032","3","A_control",32,4.13548541069,0.6875
"/ldrc_c_037","1","A_control",32,3.13305187225,0.90625
"/ldrc_c_037","2","A_control",32,3.29688692093,1
"/ldrc_c_039","1","A_control",32,4.731463551525,0.8125
"/ldrc_c_039","2","A_control",32,3.25424647331,0.8125
"/ldrc_c_039","3","A_control",32,3.41061937809,0.9375
"/ldrc_c_043","1","A_control",32,5.16156005859,0.65625
"/ldrc_c_043","2","A_control",32,4.9896800518,0.78125
"/ldrc_c_043","3","A_control",32,4.893880486485,0.875
"/ldrc_c_044","1","A_control",32,4.35162806511,0.875
"/ldrc_c_044","2","A_control",32,4.16980409622,0.90625
"/ldrc_c_045","1","A_control",32,3.34030890465,0.96875
"/ldrc_c_045","2","A_control",32,2.96344292164,1
"/ldrc_c_046","1","A_control",32,3.91679215431,0.96875
"/ldrc_c_046","3","A_control",32,3.35767841339,1
"/ldrc_c_047","1","A_control",32,3.19257497787,0.84375
"/ldrc_c_047","2","A_control",32,3.771676421165,0.9375
"/ldrc_c_058","1","A_control",32,1.76995897293,0.96875
"/ldrc_c_058","3","A_control",32,1.68040013313,0.96875
"/ldrc_c_059","1","A_control",32,2.77857589722,0.96875
"/ldrc_c_059","2","A_control",32,2.61323904991,0.96875
"/ldrc_c_059","3","A_control",32,2.490272521975,1
"/ldrc_c_061","1","A_control",32,4.01424789429,0.84375
"/ldrc_c_061","2","A_control",32,3.98539614677,0.71875
