"subind","runnum","first","cond_type","N","rt_median","acc_avg","groups"
"0_013_third","1",1,"passive_ns",8,3.989727020265,1,"A_third"
"0_013_third","1",1,"passive_s",8,4.20945811272,0.875,"A_third"
"0_013_third","2",1,"active_ns",8,5.60380911827,0.875,"A_third"
"0_013_third","2",1,"active_s",8,3.30904698372,0.625,"A_third"
"0_013_third","2",1,"passive_ns",8,3.25174808502,0.875,"A_third"
"0_013_third","2",1,"passive_s",8,3.92163848877,0.75,"A_third"
"0_013_third","3",1,"active_ns",8,4.84743595123,0.875,"A_third"
"0_013_third","3",1,"active_s",8,3.25606453419,1,"A_third"
"0_013_third","3",1,"passive_ns",8,4.35035395622,0.875,"A_third"
"0_013_third","3",1,"passive_s",8,4.62754106522,0.875,"A_third"
"0_026_third","1",1,"active_ns",8,6.18214404583,1,"A_third"
"0_026_third","1",1,"active_s",8,4.89237654209,1,"A_third"
"0_026_third","1",1,"passive_ns",8,6.59342885017,0.875,"A_third"
"0_026_third","1",1,"passive_s",8,4.96630311012,0.875,"A_third"
"0_026_third","2",1,"active_ns",8,5.13277196884,0.625,"A_third"
"0_026_third","2",1,"active_s",8,5.13049316406,0.875,"A_third"
"0_026_third","2",1,"passive_ns",8,5.03860187531,0.625,"A_third"
"0_026_third","2",1,"passive_s",8,5.64023804665,0.625,"A_third"
"1_001_third","1",1,"active_ns",8,3.11904883385,0.875,"A_third"
"1_001_third","1",1,"active_s",8,3.936294674875,1,"A_third"
"1_001_third","1",1,"passive_ns",8,4.31100845337,1,"A_third"
"1_001_third","1",1,"passive_s",8,3.92235398293,0.75,"A_third"
"1_001_third","2",1,"active_ns",8,3.750253915785,1,"A_third"
"1_001_third","2",1,"active_s",8,4.057094573975,1,"A_third"
"1_001_third","2",1,"passive_ns",8,4.25130844116,1,"A_third"
"1_001_third","2",1,"passive_s",8,4.0925359726,0.875,"A_third"
"1_001_third","3",1,"active_ns",8,3.7737749815,1,"A_third"
"1_001_third","3",1,"active_s",8,3.21040892601,0.875,"A_third"
"1_001_third","3",1,"passive_ns",8,4.631487965585,1,"A_third"
"1_001_third","3",1,"passive_s",8,3.49812197685,0.875,"A_third"
"1_004_third","1",1,"active_ns",8,6.251634955405,1,"A_third"
"1_004_third","1",1,"active_s",8,4.40633904934,1,"A_third"
"1_004_third","1",1,"passive_ns",8,6.528796076775,0.5,"A_third"
"1_004_third","1",1,"passive_s",8,5.94393086433,0.875,"A_third"
"1_004_third","2",1,"active_ns",8,4.96659302711,0.625,"A_third"
"1_004_third","2",1,"active_s",8,5.0478489399,0.875,"A_third"
"1_004_third","2",1,"passive_ns",8,6.625447154045,0.5,"A_third"
"1_004_third","2",1,"passive_s",8,6.7733989954,0.75,"A_third"
"1_004_third","3",1,"active_ns",8,5.15248596668,1,"A_third"
"1_004_third","3",1,"active_s",8,6.07548761368,1,"A_third"
"1_004_third","3",1,"passive_ns",8,4.74787402153,1,"A_third"
"1_004_third","3",1,"passive_s",8,6.555986166,0.875,"A_third"
"1_007_third","1",1,"active_ns",8,5.53628015518,0.875,"A_third"
"1_007_third","1",1,"active_s",8,3.92732012272,1,"A_third"
"1_007_third","1",1,"passive_ns",8,4.807587981225,1,"A_third"
"1_007_third","1",1,"passive_s",8,4.26143455505,0.75,"A_third"
"1_007_third","2",1,"active_ns",8,4.06823849678,1,"A_third"
"1_007_third","2",1,"active_s",8,4.43430888653,0.75,"A_third"
"1_007_third","2",1,"passive_ns",8,4.29203557968,0.75,"A_third"
"1_007_third","2",1,"passive_s",8,5.02632689476,0.875,"A_third"
"1_007_third","3",1,"active_ns",8,4.61860752106,1,"A_third"
"1_007_third","3",1,"active_s",8,2.65640246868,1,"A_third"
"1_007_third","3",1,"passive_ns",8,4.171118974685,1,"A_third"
"1_007_third","3",1,"passive_s",8,3.212582945825,0.75,"A_third"
"1_036_third","1",1,"active_ns",8,4.45602297783,0.875,"A_third"
"1_036_third","1",1,"active_s",8,3.871926426885,0.75,"A_third"
"1_036_third","1",1,"passive_ns",8,6.600714564325,0.75,"A_third"
"1_036_third","1",1,"passive_s",8,3.67548251152,1,"A_third"
"1_036_third","2",1,"active_ns",8,4.35080099106,0.875,"A_third"
"1_036_third","2",1,"active_s",8,4.81625199318,0.75,"A_third"
"1_036_third","2",1,"passive_ns",8,4.77400350571,1,"A_third"
"1_036_third","2",1,"passive_s",8,4.53434050083,0.75,"A_third"
"1_036_third","3",1,"active_ns",8,4.24908804893,0.625,"A_third"
"1_036_third","3",1,"active_s",8,3.7930560112,0.875,"A_third"
"1_036_third","3",1,"passive_ns",8,5.49244689941,0.875,"A_third"
"1_036_third","3",1,"passive_s",8,5.024518847465,0.75,"A_third"
"2_003_third","1",1,"active_ns",8,4.13541460037,1,"A_third"
"2_003_third","1",1,"active_s",8,5.07498192787,0.625,"A_third"
"2_003_third","1",1,"passive_ns",8,4.635586977005,1,"A_third"
"2_003_third","1",1,"passive_s",8,4.906324982645,0.75,"A_third"
