"subind","groups","runnum","first","cond_type","N","rt_median","acc_avg","city","sense","active","ID","subtype","rep","city.sense","city.active","subtype.sense","groups.sense","ID2"
"1_004","A_third","2",1,"active_ns",8,4.96659302711,0.625,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_thirdnonsense","1"
"1_004","A_third","2",1,"active_s",8,5.0478489399,0.875,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_thirdsense","1"
"1_004","A_third","2",1,"passive_ns",8,6.625447154045,0.5,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_thirdnonsense","1"
"1_004","A_third","2",1,"passive_s",8,6.7733989954,0.75,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_thirdsense","1"
"1_004","A_third","3",1,"active_ns",8,5.15248596668,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_thirdnonsense","1"
"1_004","A_third","3",1,"active_s",8,6.07548761368,1,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_thirdsense","1"
"1_004","A_third","3",1,"passive_ns",8,4.74787402153,1,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_thirdnonsense","1"
"1_004","A_third","3",1,"passive_s",8,6.555986166,0.875,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_thirdsense","1"
"1_007","A_first","2",1,"active_ns",8,4.25608491898,0.875,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_firstnonsense","1"
"1_007","A_first","2",1,"active_s",8,5.88048291206,0.875,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_firstsense","1"
"1_007","A_first","2",1,"passive_ns",8,6.06980240345,1,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_firstnonsense","1"
"1_007","A_first","2",1,"passive_s",8,5.320567011835,1,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_firstsense","1"
"1_007","A_first","3",1,"active_ns",8,5.706387519835,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_firstnonsense","1"
"1_007","A_first","3",1,"active_s",8,4.05572414398,0.75,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_firstsense","1"
"1_007","A_first","3",1,"passive_ns",8,4.86116909981,0.875,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_firstnonsense","1"
"1_007","A_first","3",1,"passive_s",8,5.90181303024,0.625,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_firstsense","1"
"1_007","A_third","1",1,"active_ns",8,5.53628015518,0.875,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_thirdnonsense","1"
"1_007","A_third","1",1,"active_s",8,3.92732012272,1,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_thirdsense","1"
"1_007","A_third","1",1,"passive_ns",8,4.807587981225,1,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_thirdnonsense","1"
"1_007","A_third","1",1,"passive_s",8,4.26143455505,0.75,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_thirdsense","1"
"1_007","A_third","2",1,"active_ns",8,4.06823849678,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_thirdnonsense","1"
"1_007","A_third","2",1,"active_s",8,4.43430888653,0.75,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_thirdsense","1"
