"subind","group","N","go_rt_mean","go_rt_sd","go_acc_mean","go_error_mean","stop_acc_me","stop_error_me","stop_fail_cor_me","stop_fail_incor_me","ssd","quantileRT_me","SSRT_me","group2","ID","ID2","city","rep"
"c_182","A_control",1,0.678836,NA,0.791666666666667,0.0833333333333333,0.59375,0.40625,0.34375,0.34375,0.59375,0.6332915,0.0395415,"control","c","c","austin","u"
"c_185","A_control",2,0.64889,0.000713999999999992,0.973958333333333,0,0.53125,0.46875,0.46875,0.46875,0.428125,0.6264220625,0.1982970625,"control","c","c","austin","u"
"c_187","A_control",1,0.593396,NA,0.989583333333333,0.0104166666666667,0.53125,0.46875,0.46875,0.46875,0.4,0.587381875,0.187381875,"control","c","c","austin","u"
"c_188","A_control",1,0.674251,NA,0.90625,0.03125,0.53125,0.46875,0.46875,0.46875,0.396875,0.661446625,0.264571625,"control","c","c","austin","u"
"c_190","A_control",2,0.5823985,0.0632925,0.885416666666667,0.0260416666666667,0.546875,0.453125,0.453125,0.453125,0.371875,0.55352771875,0.18165271875,"control","c","c","austin","u"
"c_192","A_control",2,0.6079195,0.0274665,0.916666666666667,0.0260416666666667,0.53125,0.46875,0.46875,0.46875,0.3015625,0.597909,0.2963465,"control","c","c","austin","u"
"c_194","A_control",2,0.64232675,0.00210925000000001,0.901041666666667,0.0364583333333333,0.5625,0.4375,0.421875,0.421875,0.3734375,0.625475703125,0.252038203125,"control","c","c","austin","u"
"c_198","A_control",2,0.769377,0.015241,0.796875,0,0.625,0.375,0.375,0.375,0.5859375,0.73850225,0.15256475,"control","c","c","austin","u"
"c_203","A_control",2,0.72184225,0.0129197500000001,0.963541666666667,0,0.578125,0.421875,0.421875,0.421875,0.5203125,0.70299775,0.18268525,"control","c","c","austin","u"
"c_221","A_control",2,0.77193575,0.00465425000000003,0.833333333333333,0,0.609375,0.390625,0.390625,0.390625,0.5828125,0.729053390625,0.146240890625,"control","c","c","austin","u"
"c_032","A_control",2,0.6331195,0.0321655,0.90625,0.0260416666666667,0.53125,0.46875,0.4375,0.4375,0.3734375,0.62411246875,0.25067496875,"control","c","c","austin","u"
"c_037","A_control",2,0.643495,0.038769,0.963541666666667,0.015625,0.5625,0.4375,0.421875,0.421875,0.390625,0.613487515625,0.222862515625,"control","c","c","austin","u"
"c_039","A_control",2,0.6111955,0.00801650000000004,0.921875,0.046875,0.5625,0.4375,0.421875,0.421875,0.446875,0.58972909375,0.14285409375,"control","c","c","austin","u"
"c_043","A_control",2,0.6287545,0.0220545,0.942708333333333,0.0104166666666667,0.53125,0.46875,0.453125,0.453125,0.3734375,0.6207195,0.247282,"control","c","c","austin","u"
"c_044","A_control",2,0.658261,0.010295,0.885416666666667,0.015625,0.546875,0.453125,0.453125,0.453125,0.440625,0.65247825,0.21185325,"control","c","c","austin","u"
"c_045","A_control",2,0.6303605,0.0132955,0.932291666666667,0.0208333333333333,0.515625,0.484375,0.390625,0.390625,0.3015625,0.6284294375,0.3268669375,"control","c","c","austin","u"
"c_046","A_control",2,0.581722,0.019094,0.973958333333333,0.015625,0.515625,0.484375,0.46875,0.46875,0.31875,0.573927765625,0.255177765625,"control","c","c","austin","u"
"c_058","A_control",2,0.65785025,0.00328574999999998,0.901041666666667,0.0260416666666667,0.578125,0.421875,0.40625,0.40625,0.425,0.62610946875,0.20110946875,"control","c","c","austin","u"
"c_059","A_control",2,0.682645,0.00870999999999999,0.963541666666667,0.015625,0.546875,0.453125,0.453125,0.453125,0.3859375,0.67113509375,0.28519759375,"control","c","c","austin","u"
"c_061","A_control",2,0.58327175,0.02089075,0.911458333333333,0.046875,0.5625,0.4375,0.40625,0.40625,0.2921875,0.55410978125,0.26192228125,"control","c","c","austin","u"
"c_062","A_control",2,0.63147875,0.05533575,0.911458333333333,0.0260416666666667,0.546875,0.453125,0.421875,0.421875,0.428125,0.6095230625,0.1813980625,"control","c","c","austin","u"
"c_078","A_control",2,0.579608,0.00960499999999997,0.932291666666667,0.0260416666666667,0.546875,0.453125,0.4375,0.4375,0.3125,0.56840165625,0.25590165625,"control","c","c","austin","u"
"c_079","A_control",2,0.699471,0.068742,0.875,0,0.59375,0.40625,0.40625,0.40625,0.4703125,0.675721,0.2054085,"control","c","c","austin","u"
"c_081","A_control",2,0.51995,0.014489,0.885416666666667,0.0572916666666667,0.546875,0.453125,0.40625,0.40625,0.371875,0.50806534375,0.13619034375,"control","c","c","austin","u"
"c_082","A_control",2,0.589789,0.028729,0.921875,0.0416666666666667,0.546875,0.453125,0.453125,0.453125,0.3796875,0.57754184375,0.19785434375,"control","c","c","austin","u"
"c_084","A_control",2,0.70677675,0.04105025,0.84375,0.0104166666666667,0.609375,0.390625,0.390625,0.390625,0.534375,0.66478209375,0.13040709375,"control","c","c","austin","u"
"c_085","A_control",2,0.5962785,0.00108049999999998,0.869791666666667,0.0729166666666667,0.453125,0.546875,0.5,0.5,0.228125,0.6188818125,0.3907568125,"control","c","c","austin","u"
"c_086","A_control",2,0.61724,0.00535550000000007,0.885416666666667,0.0208333333333333,0.5,0.5,0.484375,0.484375,0.3234375,0.61724,0.2938025,"control","c","c","austin","u"
"c_101","A_control",2,0.69665475,0.0511637499999999,0.84375,0.03125,0.578125,0.421875,0.421875,0.421875,0.4109375,0.67594125,0.26500375,"control","c","c","austin","u"
"c_103","A_control",2,0.62692725,0.01724575,0.776041666666667,0.0625,0.5625,0.4375,0.375,0.375,0.4296875,0.611547234375,0.181859734375,"control","c","c","austin","u"
"8960_c","H_control_second",2,0.67383275,0.02607225,0.963541666666667,0.00520833333333333,0.5625,0.4375,0.4375,0.4375,0.43125,0.64860153125,0.21735153125,"control","c","c","houston","u"
"8961_c","H_control_second",2,0.633766,0.033759,0.979166666666667,0,0.578125,0.421875,0.421875,0.421875,0.45625,0.6130543125,0.1568043125,"control","c","c","houston","u"
"8967_c","H_control_second",2,0.7481755,0.0082315,0.864583333333333,0.015625,0.625,0.375,0.375,0.375,0.575,0.726657,0.151657,"control","c","c","houston","u"
"8972_c","H_control_second",1,0.6160895,NA,0.9375,0.0208333333333333,0.53125,0.46875,0.46875,0.46875,0.390625,0.601068875,0.210443875,"control","c","c","houston","u"
"8963_c","H_control_third",2,0.52302575,0.01656225,0.984375,0,0.5625,0.4375,0.4375,0.4375,0.3046875,0.503498234375,0.198810734375,"control","c","c","houston","u"
